"cell_1","cell_2","cell_3"
"北京工业大学","管理模块","61"
"北京工业大学","硕士专业学位","589"
"北京工业大学","功能模块","68"
"北京工业大学","神经网络","8"
"北京工业大学","工学硕士学位","126"
"北京工业大学","需求分析","56"
"北京工业大学","数据集","10"
"北京工业大学","神经网络","15"
"北京工业大学","设计过程","11"
"北京工业大学","andriod","41"
"北京工业大学","数据库技术","19"
"硕士专业学位","功能模块","70"
"北京工业大学","J2EE","68"
"硕士专业学位","神经网络","8"
"硕士专业学位","管理模块","60"
"硕士专业学位","需求分析","56"
"硕士专业学位","andriod","40"
"硕士专业学位","设计过程","6"
"硕士专业学位","数据库技术","20"
"硕士专业学位","J2EE","35"
"功能模块","管理模块","38"
"功能模块","需求分析","29"
"功能模块","设计过程","10"
"功能模块","andriod","12"
"功能模块","数据库技术","11"
"功能模块","J2EE","13"
"神经网络","数据集","26"
"神经网络","特征提取","20"
"神经网络","遗传算法","9"
"管理模块","需求分析","26"
"管理模块","设计过程","9"
"管理模块","数据库技术","8"
"管理模块","J2EE","14"
"需求分析","andriod","5"
"需求分析","设计过程","19"
"数据集","特征提取","7"
"图像边缘","特征提取","15"
